"","title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Frostbite 2005","Frostbite","2005","83","2400000","2.8","201","R","0","0","1","0","0","0","0"
"Fubar 2002","Fubar","2002","76",NA,"7.1","617","R","0","0","1","0","0","0","0"
"Full Frontal 2002","Full Frontal","2002","101","2000000","5.0","3056","R","0","0","1","1","0","1","0"
"Gabriela 2001","Gabriela","2001","93",NA,"7.4","861","R","0","0","0","0","0","1","0"
"Galaxy Quest 1999","Galaxy Quest","1999","102","45000000","7.2","22341","PG","0","0","1","0","0","0","0"
"Game of Their Lives, The 2005","Game of Their Lives, The","2005","101","20000000","6.4","125","PG","0","0","0","1","0","0","0"
"Gang Tapes 2001","Gang Tapes","2001","91",NA,"5.7","194","R","0","0","0","1","0","0","0"
"Gangland 2000","Gangland","2000","82",NA,"2.8","121","R","1","0","0","0","0","0","0"
"Gangs of New York 2002","Gangs of New York","2002","166","97000000","7.3","34808","R","0","0","0","1","0","0","0"
"Gangster No. 1 2000","Gangster No. 1","2000","103",NA,"6.5","1730","R","0","0","0","1","0","0","0"
"Garage Days 2002","Garage Days","2002","106","6000000","5.6","597","R","0","0","1","1","0","0","0"
"Garden State 2004","Garden State","2004","109","2500000","8.1","23814","R","0","0","1","1","0","1","0"
"Garfield 2004","Garfield","2004","80","50000000","4.8","4775","PG","0","1","1","0","0","0","0"
"Gaudi Afternoon 2001","Gaudi Afternoon","2001","93",NA,"6.4","423","R","0","0","1","1","0","0","0"
"Gekko no sasayaki 1999","Gekko no sasayaki","1999","100",NA,"7.4","130","R","0","0","0","1","0","1","0"
"General's Daughter, The 1999","General's Daughter, The","1999","116","60000000","6.1","11128","R","0","0","0","1","0","0","0"
"Gentleman's Game, A 2001","Gentleman's Game, A","2001","112",NA,"6.4","197","R","0","0","0","1","0","0","0"
"Gerry 2002","Gerry","2002","105","3500000","6.0","1944","R","0","0","0","1","0","0","0"
"Geschichte vom weinenden Kamel, Die 2003","Geschichte vom weinenden Kamel, Die","2003","90",NA,"7.4","855","PG","0","0","0","1","1","0","0"
"Get Bruce 1999","Get Bruce","1999","82",NA,"5.5","222","R","0","0","0","0","1","0","0"
"Get Carter 2000","Get Carter","2000","104","40000000","4.7","4927","R","1","0","0","1","0","0","0"
"Get Over It 2001","Get Over It","2001","87","10000000","5.7","3561","PG-13","0","0","1","0","0","1","0"
"Get Well Soon 2001","Get Well Soon","2001","95",NA,"5.0","257","R","0","0","1","1","0","1","0"
"Ghost Dog: The Way of the Samurai 1999","Ghost Dog: The Way of the Samurai","1999","116",NA,"7.5","13542","R","1","0","0","1","0","0","0"
"Ghost Ship 2002","Ghost Ship","2002","91","35000000","5.3","8399","R","0","0","0","0","0","0","0"
"Ghost World 2000","Ghost World","2000","111","7000000","7.8","17976","R","0","0","1","1","0","0","0"
"GhostWatcher 2002","GhostWatcher","2002","94",NA,"4.1","183","R","0","0","0","0","0","0","0"
"Ghosts of Edendale, The 2003","Ghosts of Edendale, The","2003","90",NA,"4.7","154","R","0","0","0","0","0","0","0"
"Ghosts of Mars 2001","Ghosts of Mars","2001","98","28000000","4.6","6368","R","1","0","0","0","0","0","0"
"Ghosts of the Abyss 2003","Ghosts of the Abyss","2003","43","13000000","6.6","664","PG","0","0","0","0","1","0","0"
"Gift, The 2000","Gift, The","2000","111","10000000","6.8","12440","R","0","0","0","1","0","0","0"
"Gigli 2003","Gigli","2003","121","54000000","2.3","11285","R","0","0","1","0","0","1","0"
"Ginger Snaps Back: The Beginning 2004","Ginger Snaps Back: The Beginning","2004","94",NA,"6.0","610","R","0","0","0","0","0","0","0"
"Ginger Snaps: Unleashed 2004","Ginger Snaps: Unleashed","2004","94","3500000","6.6","1118","R","0","0","0","0","0","0","0"
"Girl Fever 2002","Girl Fever","2002","98",NA,"4.7","434","R","0","0","1","0","0","1","0"
"Girl Next Door, The 2004","Girl Next Door, The","2004","110",NA,"6.8","10452","R","0","0","1","0","0","1","0"
"Girl with a Pearl Earring 2003","Girl with a Pearl Earring","2003","100",NA,"7.3","6391","PG-13","0","0","0","1","0","0","0"
"Girl, Interrupted 1999","Girl, Interrupted","1999","127","24000000","7.0","16362","R","0","0","0","1","0","0","0"
"Girlfight 2000","Girlfight","2000","110",NA,"7.0","2418","R","0","0","0","1","0","0","0"
"Giving It Up 1999","Giving It Up","1999","90",NA,"4.0","111","R","0","0","1","0","0","1","0"
"Giving Tree, The 2000","Giving Tree, The","2000","89",NA,"4.5","145","R","0","0","0","1","0","0","0"
"Gladiator 2000","Gladiator","2000","155","103000000","8.0","92495","R","1","0","0","1","0","0","0"
"Glitter 2001","Glitter","2001","104","22000000","2.1","5209","PG-13","0","0","0","1","0","1","0"
"Global Heresy 2002","Global Heresy","2002","106","12000000","5.7","373","R","0","0","0","1","0","0","0"
"Gloria 1999","Gloria","1999","108","30000000","4.9","1144","R","0","0","0","1","0","0","0"
"Go 1999","Go","1999","103","6500000","7.4","20663","R","0","0","1","0","0","0","0"
"Go Tigers! 2001","Go Tigers!","2001","103",NA,"7.7","353","R","0","0","0","0","1","0","0"
"Goat on Fire and Smiling Fish 1999","Goat on Fire and Smiling Fish","1999","90","40000","6.3","254","R","0","0","1","0","0","1","0"
"God's Army 2000","God's Army","2000","108","300000","6.4","354","PG","0","0","0","1","0","0","0"
"Gods and Generals 2003","Gods and Generals","2003","209","56000000","5.7","3002","PG-13","1","0","0","1","0","0","0"
"Godsend 2004","Godsend","2004","102",NA,"4.8","3981","PG-13","0","0","0","1","0","0","0"
"Going Greek 2001","Going Greek","2001","90","198000","4.8","261","R","0","0","1","0","0","0","0"
"Going Upriver: The Long War of John Kerry 2004","Going Upriver: The Long War of John Kerry","2004","87",NA,"7.8","487","PG-13","0","0","0","0","1","0","0"
"Going the Distance 2004","Going the Distance","2004","93",NA,"5.3","183","R","0","0","1","0","0","0","0"
"Gojira ni-sen mireniamu 1999","Gojira ni-sen mireniamu","1999","99","1000000","5.6","1150","PG","1","0","0","0","0","0","0"
"Gojira tai Mekagojira 2002","Gojira tai Mekagojira","2002","88",NA,"6.6","189","PG","1","0","0","0","0","0","0"
"Golden Bowl, The 2000","Golden Bowl, The","2000","130","15000000","6.0","1145","R","0","0","0","1","0","0","0"
"Gone in Sixty Seconds 2000","Gone in Sixty Seconds","2000","117","90000000","5.7","25400","PG-13","1","0","0","0","0","0","0"
"Gong fu 2004","Gong fu","2004","99","20000000","7.9","5299","R","1","0","1","0","0","0","0"
"Good Advice 2001","Good Advice","2001","93",NA,"6.1","1296","R","0","0","1","0","0","1","0"
"Good Boy! 2003","Good Boy!","2003","88","18000000","4.7","683","PG","0","0","1","1","0","0","0"
"Good Bye Lenin! 2003","Good Bye Lenin!","2003","121",NA,"7.8","9334","R","0","0","1","1","0","1","0"
"Good Girl, The 2002","Good Girl, The","2002","93","5000000","6.9","8254","R","0","0","1","1","0","0","0"
"Good Night to Die, A 2003","Good Night to Die, A","2003","100",NA,"4.8","152","R","1","0","1","0","0","0","0"
"Gosford Park 2001","Gosford Park","2001","137","15000000","7.3","16831","R","0","0","0","1","0","0","0"
"Gospel of John, The 2003","Gospel of John, The","2003","180",NA,"7.1","366","PG-13","0","0","0","1","0","0","0"
"Gothika 2003","Gothika","2003","98","40000000","5.8","10524","R","0","0","0","0","0","0","0"
"Goya en Burdeos 1999","Goya en Burdeos","1999","106",NA,"6.4","474","R","0","0","0","1","0","0","0"
"Gran vida, La 2000","Gran vida, La","2000","109",NA,"6.5","273","R","0","0","1","0","0","0","0"
"Grand Theft Parsons 2003","Grand Theft Parsons","2003","88",NA,"5.9","365","PG-13","0","0","1","1","0","0","0"
"Grass 1999","Grass","1999","80",NA,"7.2","624","R","0","0","0","0","1","0","0"
"Grateful Dawg 2000","Grateful Dawg","2000","81",NA,"7.1","115","PG-13","0","0","0","0","1","0","0"
"Green Dragon 2001","Green Dragon","2001","115",NA,"6.1","249","PG-13","0","0","0","1","0","0","0"
"Green Mile, The 1999","Green Mile, The","1999","188","60000000","8.1","60142","R","0","0","0","1","0","0","0"
"Grey Owl 1999","Grey Owl","1999","118","30000000","5.7","629","PG-13","0","0","0","1","0","0","0"
"Grey Zone, The 2001","Grey Zone, The","2001","108","5000000","7.3","1553","R","0","0","0","1","0","0","0"
"Grind 2003","Grind","2003","105",NA,"4.5","1244","PG-13","0","0","1","0","0","0","0"
"Grizzly Falls 1999","Grizzly Falls","1999","94",NA,"5.1","112","PG","0","0","0","0","0","0","0"
"Groomsmen, The 2001","Groomsmen, The","2001","89",NA,"5.5","108","R","0","0","1","0","0","0","0"
"Groove 2000","Groove","2000","86","500000","6.0","1171","R","0","0","0","1","0","0","0"
"Grudge, The 2004","Grudge, The","2004","92","10000000","5.9","11441","PG-13","0","0","0","0","0","0","0"
"Guess Who 2005","Guess Who","2005","106",NA,"4.9","1355","PG-13","0","0","1","0","0","1","0"
"Guest House Paradiso 1999","Guest House Paradiso","1999","89",NA,"5.1","1491","R","0","0","1","0","0","0","0"
"Guilty, The 2000","Guilty, The","2000","112",NA,"6.3","752","R","0","0","0","0","0","0","0"
"Guinevere 1999","Guinevere","1999","104","2600000","6.3","804","R","0","0","0","1","0","1","0"
"Gun Shy 2000","Gun Shy","2000","101","10000000","5.4","1701","R","0","0","1","0","0","1","0"
"Gunner Palace 2004","Gunner Palace","2004","85",NA,"6.4","203","PG-13","0","0","0","0","1","0","0"
"Guru, The 2002","Guru, The","2002","94","11000000","5.9","3505","R","0","0","1","0","0","1","0"
"Guy Thing, A 2003","Guy Thing, A","2003","101","20000000","5.3","2885","PG-13","0","0","1","0","0","1","0"
"Guys, The 2002","Guys, The","2002","85",NA,"6.4","281","PG","0","0","0","1","0","0","0"
"Gypsy 83 2001","Gypsy 83","2001","94",NA,"6.6","187","R","0","0","0","1","0","0","0"
"Hable con ella 2002","Hable con ella","2002","112",NA,"8.1","12609","R","0","0","0","1","0","0","0"
"Haiku Tunnel 2001","Haiku Tunnel","2001","88",NA,"5.9","624","R","0","0","1","0","0","0","0"
"Half Past Dead 2002","Half Past Dead","2002","98","30000000","3.9","2099","PG-13","1","0","0","0","0","0","0"
"Halloween: Resurrection 2002","Halloween: Resurrection","2002","89","15000000","4.3","4323","R","0","0","0","0","0","0","0"
"Hanging Up 2000","Hanging Up","2000","94","40000000","4.4","3129","PG-13","0","0","1","1","0","0","0"
"Hangman's Curse 2003","Hangman's Curse","2003","106","2000000","4.9","405","PG-13","0","0","0","0","0","0","0"
"Hannibal 2001","Hannibal","2001","133","87000000","6.2","28876","R","0","0","0","0","0","0","0"
"Happy Accidents 2000","Happy Accidents","2000","110",NA,"7.3","1440","R","0","0","1","0","0","1","0"
"Happy Campers 2001","Happy Campers","2001","94",NA,"5.4","543","R","0","0","1","0","0","0","0"
"Happy, Texas 1999","Happy, Texas","1999","98","1700000","6.4","3453","PG-13","0","0","1","0","0","0","0"
"Hard Ball 2001","Hard Ball","2001","109","21000000","6.0","3083","PG-13","0","0","0","1","0","0","0"
"Hard Word, The 2002","Hard Word, The","2002","102",NA,"6.1","813","R","0","0","1","1","0","0","0"
"Harold & Kumar Go to White Castle 2004","Harold & Kumar Go to White Castle","2004","90","9000000","7.1","8376","R","0","0","1","0","0","0","0"
"Harrison's Flowers 2000","Harrison's Flowers","2000","121",NA,"7.2","1236","R","0","0","0","1","0","1","0"
"Harry Potter and the Chamber of Secrets 2002","Harry Potter and the Chamber of Secrets","2002","152","100000000","7.3","38394","PG","0","0","0","0","0","0","0"
"Harry Potter and the Prisoner of Azkaban 2004","Harry Potter and the Prisoner of Azkaban","2004","141","130000000","7.8","24973","PG","0","0","0","0","0","0","0"
"Harry Potter and the Sorcerer's Stone 2001","Harry Potter and the Sorcerer's Stone","2001","152","130000000","7.2","46741","PG","0","0","0","0","0","0","0"
"Harry, un ami qui vous veut du bien 2000","Harry, un ami qui vous veut du bien","2000","117",NA,"7.2","2838","R","0","0","1","1","0","0","0"
"Hart's War 2002","Hart's War","2002","125","70000000","6.2","6368","R","0","0","0","1","0","0","0"
"Harvard Man 2001","Harvard Man","2001","99","5500000","4.9","1157","R","0","0","0","1","0","1","0"
"Haunted Castle 2001","Haunted Castle","2001","38",NA,"5.0","135","PG","0","1","0","0","0","0","1"
"Haunted Mansion, The 2003","Haunted Mansion, The","2003","87","90000000","5.0","3341","PG","0","0","1","0","0","0","0"
"Haunting of Hell House, The 1999","Haunting of Hell House, The","1999","90",NA,"4.0","180","R","0","0","0","0","0","0","0"
"Haunting, The 1999","Haunting, The","1999","112","80000000","4.6","14425","PG-13","0","0","0","0","0","0","0"
"Hauru no ugoku shiro 2004","Hauru no ugoku shiro","2004","119",NA,"8.0","889","PG","0","1","0","0","0","1","0"
"Haute tension 2003","Haute tension","2003","85",NA,"6.8","1484","R","0","0","0","1","0","0","0"
"He ni zai yi qi 2002","He ni zai yi qi","2002","117",NA,"7.3","807","PG","0","0","0","1","0","0","0"
"Head Over Heels 2001","Head Over Heels","2001","86","14000000","4.9","2632","PG-13","0","0","1","0","0","1","0"
"Head in the Clouds 2004","Head in the Clouds","2004","132",NA,"5.7","601","R","0","0","0","1","0","1","0"
"Head of State 2003","Head of State","2003","95",NA,"5.1","2960","PG-13","0","0","1","0","0","0","0"
"Heart Is Deceitful Above All Things, The 2004","Heart Is Deceitful Above All Things, The","2004","97",NA,"6.1","214","R","0","0","0","1","0","0","0"
"Heart of America 2003","Heart of America","2003","87","3000000","6.1","204","R","0","0","0","1","0","0","0"
"Heart of Me, The 2002","Heart of Me, The","2002","96","7000000","6.2","336","R","0","0","0","1","0","1","0"
"Heartbreakers 2001","Heartbreakers","2001","110","40000000","6.2","8037","PG-13","0","0","1","0","0","1","0"
"Heartlands 2002","Heartlands","2002","90",NA,"6.2","119","PG-13","0","0","1","1","0","0","0"
"Hearts in Atlantis 2001","Hearts in Atlantis","2001","101","31000000","6.7","6577","PG-13","0","0","0","1","0","0","0"
"Heaven 2002","Heaven","2002","96","11000000","7.3","3857","R","0","0","0","1","0","0","0"
"Heavy Metal 2000 2000","Heavy Metal 2000","2000","88","15000000","5.1","1148","R","1","1","0","0","0","0","0"
"Hebrew Hammer, The 2003","Hebrew Hammer, The","2003","87",NA,"6.3","810","R","0","0","1","0","0","0","0"
"Hedwig and the Angry Inch 2001","Hedwig and the Angry Inch","2001","93","6000000","7.7","6072","R","0","0","1","1","0","1","0"
"Held Up 1999","Held Up","1999","89","8000000","4.6","555","PG-13","0","0","1","0","0","0","0"
"Hellborn 2003","Hellborn","2003","90",NA,"4.1","106","R","0","0","0","0","0","0","0"
"Hellboy 2004","Hellboy","2004","132","66000000","6.7","15565","PG-13","1","0","0","0","0","0","0"
"Hellbreeder 2003","Hellbreeder","2003","85",NA,"3.2","105","R","0","0","0","0","0","0","0"
"Here on Earth 2000","Here on Earth","2000","93","15000000","4.8","2187","PG-13","0","0","0","1","0","1","0"
"Hey Arnold! The Movie 2002","Hey Arnold! The Movie","2002","76","10000000","4.8","425","PG","0","1","1","0","0","0","0"
"Hi-Line, The 1999","Hi-Line, The","1999","95",NA,"5.9","166","PG","0","0","0","1","0","0","0"
"Hidalgo 2004","Hidalgo","2004","136","78000000","6.6","7328","PG-13","1","0","0","1","0","0","0"
"Hidden Agenda 2001","Hidden Agenda","2001","98","5000000","4.2","266","R","1","0","0","0","0","0","0"
"Hide and Seek 2005","Hide and Seek","2005","101","30000000","5.2","3784","R","0","0","0","1","0","0","0"
"High Crimes 2002","High Crimes","2002","115","42000000","6.1","6043","PG-13","0","0","0","1","0","0","0"
"High Fidelity 2000","High Fidelity","2000","113","20000000","7.6","29704","R","0","0","1","1","0","1","0"
"High Heels and Low Lifes 2001","High Heels and Low Lifes","2001","86",NA,"6.1","981","R","1","0","1","1","0","0","0"
"Highlander: Endgame 2000","Highlander: Endgame","2000","101","15000000","4.4","3773","R","1","0","0","0","0","0","0"
"Highwaymen 2003","Highwaymen","2003","80",NA,"5.6","954","R","1","0","0","0","0","0","0"
"Hija del canibal, La 2003","Hija del canibal, La","2003","110",NA,"6.5","243","R","0","0","1","1","0","1","0"
"Hijo de la novia, El 2001","Hijo de la novia, El","2001","123",NA,"7.7","1933","R","0","0","1","1","0","0","0"
"History Is Made at Night 1999","History Is Made at Night","1999","95",NA,"4.4","285","R","0","0","0","0","0","1","0"
"Hit and Runway 1999","Hit and Runway","1999","108","1200000","6.7","189","R","0","0","1","0","0","0","0"
"Hitchhiker's Guide to the Galaxy, The 2005","Hitchhiker's Guide to the Galaxy, The","2005","110","50000000","6.9","7644","PG","0","0","1","0","0","0","0"
"Hitman's Run 1999","Hitman's Run","1999","91",NA,"4.2","177","R","1","0","0","0","0","0","0"
"Hole, The 2001","Hole, The","2001","102",NA,"6.5","4927","R","0","0","0","0","0","0","0"
"Holes 2003","Holes","2003","117","30000000","7.2","5235","PG","0","0","1","1","0","0","0"
"Hollow Man 2000","Hollow Man","2000","112","95000000","5.3","16168","R","0","0","0","0","0","0","0"
"Hollywood Ending 2002","Hollywood Ending","2002","112","16000000","6.3","3673","PG-13","0","0","1","1","0","0","0"
"Hollywood Homicide 2003","Hollywood Homicide","2003","116","75000000","5.2","5312","PG-13","1","0","1","0","0","0","0"
"Hollywood North 2003","Hollywood North","2003","89","7000000","5.7","114","R","0","0","1","0","0","0","0"
"Hollywood Sign, The 2001","Hollywood Sign, The","2001","90","12000000","5.3","196","R","0","0","1","0","0","0","0"
"Holy Land, The 2001","Holy Land, The","2001","102",NA,"6.9","119","R","0","0","0","1","0","0","0"
"Holy Smoke 1999","Holy Smoke","1999","115",NA,"5.7","3555","R","0","0","1","1","0","0","0"
"Home Room 2002","Home Room","2002","133",NA,"7.3","540","R","0","0","0","1","0","0","0"
"Home at the End of the World, A 2004","Home at the End of the World, A","2004","96","6500000","6.5","1693","R","0","0","0","1","0","1","0"
"Home on the Range 2004","Home on the Range","2004","76","110000000","5.4","1510","PG","0","1","1","0","0","0","0"
"Homem Que Copiava, O 2003","Homem Que Copiava, O","2003","124",NA,"8.4","496","R","0","0","1","1","0","1","0"
"Hometown Legend 2002","Hometown Legend","2002","108","2000000","4.6","186","PG","0","0","0","1","0","0","0"
"Homme du train, L' 2002","Homme du train, L'","2002","90",NA,"7.4","1614","R","0","0","0","1","0","0","0"
"Honest 2000","Honest","2000","110",NA,"4.1","243","R","0","0","1","0","0","0","0"
"Honey 2003","Honey","2003","94","17000000","3.9","3067","PG-13","0","0","0","1","0","1","0"
